Ciclo,Entropía,Varianza,Simetría,Células Activas,Células Inhibidas,Células Neutrales
259,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
260,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
261,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
262,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
263,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
264,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
265,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
266,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
267,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
268,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
269,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
270,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
